s,phi,contrast,numerical_residual,analytic_residual,absolute_error,relative_error
0.067,0.22499999999999998,0.25,0.0030512734962185374,0.0030512734962185374,0.0,0.0
0.067,0.22499999999999998,0.5,0.006102546992437077,0.006102546992437075,2.6020852139652106e-18,4.263933103980996e-16
0.067,0.24999999999999997,0.0,0.0,0.0,0.0,
0.067,0.24999999999999997,0.25,0.0033835751545582852,0.0033835751545582826,2.6020852139652106e-18,7.690342596527626e-16
0.067,0.24999999999999997,0.5,0.006767150309116564,0.006767150309116565,8.673617379884035e-19,1.2817237660879377e-16
0.067,0.27499999999999997,0.0,0.0,0.0,0.0,
0.067,0.27499999999999997,0.25,0.0037137621885665567,0.003713762188566554,2.6020852139652106e-18,7.006601612715458e-16
0.067,0.27499999999999997,0.5,0.007427524377133108,0.007427524377133108,0.0,0.0
0.067,0.3,0.0,1.9903809648341532e-17,0.0,1.9903809648341532e-17,
0.067,0.3,0.25,0.004041628242095152,0.00404162824209515,2.6020852139652106e-18,6.438210191782283e-16
0.067,0.3,0.5,0.008083256484190305,0.0080832564841903,5.204170427930421e-18,6.438210191782283e-16
0.067,0.32499999999999996,0.0,1.9904904503740567e-17,0.0,1.9904904503740567e-17,
0.067,0.32499999999999996,0.25,0.004366968409533115,0.004366968409533115,0.0,0.0
0.067,0.32499999999999996,0.5,0.00873393681906623,0.00873393681906623,0.0,0.0
0.067,0.35,0.0,7.37803252004269e-17,0.0,7.37803252004269e-17,
0.067,0.35,0.25,0.004689579363866082,0.004689579363866079,3.469446951953614e-18,7.398205004666793e-16
0.067,0.35,0.5,0.00937915872773216,0.009379158727732158,1.734723475976807e-18,1.8495512511666983e-16
0.067,0.37499999999999994,0.0,3.9796435835495325e-17,0.0,3.9796435835495325e-17,
0.067,0.37499999999999994,0.25,0.00500925948374903,0.005009259483749025,5.204170427930421e-18,1.0389101312906077e-15
0.067,0.37499999999999994,0.5,0.010018518967498051,0.01001851896749805,1.734723475976807e-18,1.7315168854843463e-16
0.067,0.39999999999999997,0.0,0.0,0.0,0.0,
0.067,0.39999999999999997,0.25,0.005325808979513066,0.005325808979513063,2.6020852139652106e-18,4.88580274653996e-16
0.067,0.39999999999999997,0.5,0.010651617959026128,0.010651617959026126,1.734723475976807e-18,1.62860091551332e-16
0.067,0.425,0.0,6.608397691102765e-17,0.0,6.608397691102765e-17,
0.067,0.425,0.25,0.0056390300180274725,0.005639030018027472,8.673617379884035e-19,1.5381399553035294e-16
0.067,0.425,0.5,0.011278060036054943,0.011278060036054943,0.0,0.0
0.067,0.44999999999999996,0.0,4.6235656014516484e-17,0.0,4.6235656014516484e-17,
0.067,0.44999999999999996,0.25,0.005948726846338969,0.005948726846338964,5.204170427930421e-18,8.7483768583747185e-16
0.067,0.44999999999999996,0.5,0.011897453692677926,0.011897453692677928,1.734723475976807e-18,1.4580628097291197e-16
0.067,0.475,0.0,1.9849367447223755e-17,0.0,1.9849367447223755e-17,
0.067,0.475,0.25,0.006254705914010914,0.006254705914010911,2.6020852139652106e-18,4.1602039324285186e-16
0.067,0.475,0.5,0.012509411828021821,0.012509411828021823,1.734723475976807e-18,1.3867346441428395e-16
0.067,0.49999999999999994,0.0,4.622911197174076e-17,0.0,4.622911197174076e-17,
0.067,0.49999999999999994,0.25,0.006556775994086073,0.0065567759940860695,3.469446951953614e-18,5.291391615456905e-16
0.067,0.49999999999999994,0.5,0.013113551988172139,0.013113551988172139,0.0,0.0
0.067,0.5249999999999999,0.0,4.575001040425901e-17,0.0,4.575001040425901e-17,
0.067,0.5249999999999999,0.25,0.006854748302597198,0.0068547483025971955,2.6020852139652106e-18,3.7960332007804086e-16
0.067,0.5249999999999999,0.5,0.013709496605194391,0.013709496605194391,0.0,0.0
0.067,0.5499999999999999,0.0,4.5750842008744255e-17,0.0,4.5750842008744255e-17,
0.067,0.5499999999999999,0.25,0.007148436616550889,0.007148436616550887,1.734723475976807e-18,2.426717293625259e-16
0.067,0.5499999999999999,0.5,0.014296873233101776,0.014296873233101774,1.734723475976807e-18,1.2133586468126294e-16
0.067,0.575,0.0,6.504124090920247e-17,0.0,6.504124090920247e-17,
0.067,0.575,0.25,0.007437657390310897,0.007437657390310892,4.336808689942018e-18,5.830879889132323e-16
0.067,0.575,0.5,0.014875314780621788,0.014875314780621785,3.469446951953614e-18,2.332351955652929e-16
0.067,0.6,0.0,0.0,0.0,0.0,
0.067,0.6,0.25,0.007722229870308154,0.007722229870308152,2.6020852139652106e-18,3.3696034146434647e-16
0.067,0.6,0.5,0.015444459740616302,0.015444459740616303,1.734723475976807e-18,1.1232011382144883e-16
0.082,0.0,0.0,4.552655194402924e-16,0.0,4.552655194402924e-16,
0.082,0.0,0.25,0.0,0.0,0.0,
0.082,0.0,0.5,2.229642722265061e-16,0.0,2.229642722265061e-16,
0.082,0.024999999999999998,0.0,6.676151970461961e-16,0.0,6.676151970461961e-16,
0.082,0.024999999999999998,0.25,0.00041841091007741515,0.00041841091007741623,1.0842021724855044e-18,2.5912378152015696e-15
0.082,0.024999999999999998,0.5,0.0008368218201548345,0.0008368218201548325,2.0599841277224584e-18,2.461675924441491e-15
0.082,0.049999999999999996,0.0,6.67610352480384e-16,0.0,6.67610352480384e-16,
0.082,0.049999999999999996,0.25,0.0008365603269559011,0.0008365603269558971,4.0115480381963664e-18,4.795288407703624e-15
0.082,0.049999999999999996,0.5,0.0016731206539117918,0.0016731206539117942,2.3852447794681098e-18,1.4256262833713475e-15
0.082,0.075,0.0,6.676059238989558e-16,0.0,6.676059238989558e-16,
0.082,0.075,0.25,0.001254186920861243,0.0012541869208612447,1.734723475976807e-18,1.3831458829004372e-15
0.082,0.075,0.5,0.002508373841722493,0.0025083738417224894,3.469446951953614e-18,1.3831458829004372e-15
0.082,0.09999999999999999,0.0,6.676019140779348e-16,0.0,6.676019140779348e-16,
0.082,0.09999999999999999,0.25,0.0016710296887666035,0.0016710296887666005,3.0357660829594124e-18,1.816703858325901e-15
0.082,0.09999999999999999,0.5,0.0033420593775332066,0.003342059377533201,5.637851296924623e-18,1.686939297016908e-15
0.082,0.12499999999999999,0.0,6.681906235181477e-16,0.0,6.681906235181477e-16,
0.082,0.12499999999999999,0.25,0.0020868281175108402,0.002086828117510842,1.734723475976807e-18,8.312728113161406e-16
0.082,0.12499999999999999,0.5,0.004173656235021682,0.004173656235021684,1.734723475976807e-18,4.156364056580703e-16
