jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size,s,actual_angle
2.567108869225656e-09,3.208886043769202e-10,2.5671090060668354e-09,0.0017173606069000869,104,8192,0.045,0.30618621784789724
1.9960862643625085e-09,2.495107816801596e-10,1.9960863080474362e-09,0.0009826572180173798,105,8192,0.045,0.30618621784789724
2.7950466125325154e-09,3.49380820871419e-10,2.795046794777174e-09,0.0018606153090843236,106,8192,0.045,0.30618621784789724
2.3211209095647893e-09,2.9014011245561957e-10,2.321120949244119e-09,0.0008463746521378823,107,8192,0.045,0.30618621784789724
2.1489074158052313e-09,2.686134230274111e-10,2.1489075421490032e-09,0.001773185048499215,108,8192,0.045,0.30618621784789724
2.5421860279234985e-09,3.177732495654292e-10,2.54218615352376e-09,0.001470288865769831,109,8192,0.045,0.30618621784789724
2.3162481368026935e-09,2.895310151412584e-10,2.3162481994931992e-09,0.0012953473809211857,110,8192,0.045,0.30618621784789724
2.3458412428262884e-09,2.9323015264255293e-10,2.3458413295697496e-09,0.0015030062431904412,111,8192,0.045,0.30618621784789724
1.7639658558102092e-09,2.2049573136070548e-10,1.7639658755084706e-09,0.0007042870691726932,112,8192,0.045,0.30618621784789724
1.9100455440994554e-09,2.3875569218193034e-10,1.9100455706755054e-09,0.0008787232569833492,113,8192,0.045,0.30618621784789724
3.0012246485444925e-09,3.7515307003821364e-10,3.0012250014996376e-09,0.002231549267552424,114,8192,0.045,0.30618621784789724
2.3304187412797114e-09,2.913023410318736e-10,2.330418793378602e-09,0.0010505394028754722,115,8192,0.045,0.30618621784789724
2.242398920790026e-09,2.802998634062802e-10,2.2423989749491637e-09,0.0011472871053221922,116,8192,0.045,0.30618621784789724
2.595775600083686e-09,3.244719475727057e-10,2.5957756780918487e-09,0.0012556657060951437,117,8192,0.045,0.30618621784789724
3.0637130370029318e-09,3.829641232098574e-10,3.063713242299231e-09,0.0016567423775324386,118,8192,0.045,0.30618621784789724
2.5571615474231644e-09,3.196451917194221e-10,2.5571616020943183e-09,0.0009461236752059676,119,8192,0.045,0.30618621784789724
1.7689542737378761e-09,2.2111928356693536e-10,1.7689542945474484e-09,0.0006623786069592796,120,8192,0.045,0.30618621784789724
