s,h,jeffreys,affinity_deficit,likelihood_ratio_second_moment,maximum_absolute_likelihood_ratio,batch,batch_size
0.082,0.45,2.0820344657421124e-07,2.6025413049627322e-08,2.082040152835962e-07,0.013727008912363559,4,8192
0.082,0.45,2.9428593498797975e-07,3.678568486875014e-08,2.9428775914322024e-07,0.01739201368812715,5,8192
0.082,0.45,3.0846512189896167e-07,3.855797319034134e-08,3.0847046743086333e-07,0.026036736110446768,6,8192
0.082,0.45,2.660344302968659e-07,3.325427184954896e-08,2.6603545229979274e-07,0.013623899610241352,7,8192
0.082,0.45,2.3077706023672737e-07,2.8847109725050887e-08,2.307777899825583e-07,0.011785834822239494,8,8192
0.082,0.45,2.2559794507964933e-07,2.8199731302759196e-08,2.2559832371011644e-07,0.00968975881038503,9,8192
0.082,0.45,2.1184755475472425e-07,2.6480929550979214e-08,2.118480281425686e-07,0.010613252771349835,10,8192
0.082,0.45,2.040637164477348e-07,2.5507953455415113e-08,2.0406407166556338e-07,0.010332879771237202,11,8192
0.082,0.45,2.014435522814051e-07,2.5180432637791176e-08,2.0144391699792297e-07,0.011186624856712513,12,8192
0.082,0.45,3.221261641067001e-07,4.026565931542064e-08,3.2212972245199116e-07,0.022469413367019797,13,8192
0.082,0.45,2.7310707822225565e-07,3.4138344108295884e-08,2.7310837964757393e-07,0.01581012887582034,14,8192
0.082,0.45,2.3456495277919188e-07,2.9320602418118532e-08,2.3456548651648617e-07,0.011184327718849474,15,8192
0.082,0.45,2.3061292124344564e-07,2.8826595298361804e-08,2.3061355667018854e-07,0.012859817429314191,16,8192
0.082,0.45,2.874769449929092e-07,3.593458689620273e-08,2.87477944287011e-07,0.013900698067617512,17,8192
0.082,0.45,2.0460524530178777e-07,2.557564624591148e-08,2.046055466398738e-07,0.008227169959058145,18,8192
0.082,0.45,2.821991998886401e-07,3.5274762948053266e-08,2.8220358512563395e-07,0.024788926767262964,19,8192
0.082,0.45,2.5216946008809303e-07,3.152113800496588e-08,2.52170884284129e-07,0.017166068219200525,20,8192
0.082,0.45,3.036800924242398e-07,3.7959947897154564e-08,3.036821294157976e-07,0.017508109701566354,21,8192
